Classifier,Accuracy,F1 Score,Recall,ROC-AUC,Mean Score
LightGBM,0.9736842105263158,0.9737421322933159,0.9736842105263158,0.9941041598427776,0.9788036782971812
XGBoost,0.9736842105263158,0.9737421322933159,0.9736842105263158,0.9931215198165738,0.9785580182906303
CatBoost,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9944317065181788,0.9722921371558605
GradientBoosting,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9941041598427777,0.9722102504870103
ExtraTrees,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9909924664264659,0.9714323271329323
